"Salary.Frequency","Salary.Range.From","Salary.Range.To","Posting.Type","Level","X..Of.Positions","Civil.Service.Title","Agency"
"Annual",41810,61248,"External","01",1,"PRINCIPAL ADMINISTRATIVE ASSOC","ADMIN FOR CHILDREN'S SVCS"
"Annual",58675,156793,"External","M2",1,"ADMINISTRATIVE ENGINEER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",58675,156793,"Internal","M2",1,"ADMINISTRATIVE ENGINEER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",46557,63801,"Internal","02",1,"LABORATORY MICROBIOLOGIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",41810,61248,"Internal","01",1,"PRINCIPAL ADMINISTRATIVE ASSOC","ADMIN FOR CHILDREN'S SVCS"
"Annual",48900,69042,"External","00",1,"SUPERVISING PUBLIC HEALTH ADVI","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",48900,69042,"Internal","00",1,"SUPERVISING PUBLIC HEALTH ADVI","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",46557,63801,"External","02",1,"LABORATORY MICROBIOLOGIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",29011,40379,"External","00",2,"CITY CUSTODIAL ASSISTANT","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",29011,40379,"Internal","00",2,"CITY CUSTODIAL ASSISTANT","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",87461,127125,"External","4B",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",60673,91795,"Internal","02",1,"ASSOCIATE PUBLIC HEALTH SANITA","DEPT OF ENVIRONMENT PROTECTION"
"Annual",60673,91795,"External","02",1,"ASSOCIATE PUBLIC HEALTH SANITA","DEPT OF ENVIRONMENT PROTECTION"
"Annual",48895,75900,"Internal","00",1,"COMMUNITY COORDINATOR","HOUSING PRESERVATION & DVLPMNT"
"Annual",48895,75900,"External","00",1,"COMMUNITY COORDINATOR","HOUSING PRESERVATION & DVLPMNT"
"Annual",76340,100322,"External","03",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",87461,127125,"Internal","4B",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",48895,75900,"Internal","00",1,"COMMUNITY COORDINATOR","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",48895,75900,"External","00",1,"COMMUNITY COORDINATOR","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",53051,85000,"Internal","M1",1,"ADMINISTRATIVE SPACE ANALYST","DEPARTMENT OF FINANCE"
"Annual",76340,100322,"Internal","03",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",63087,83326,"Internal","02",1,"ASSOCIATE LABORATORY MICROBIOL","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",63087,83326,"External","02",1,"ASSOCIATE LABORATORY MICROBIOL","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",54347,74187,"Internal","01",100,"SPECIAL CONSULTANT (MENTAL HEA","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",53051,85000,"External","M1",1,"ADMINISTRATIVE SPACE ANALYST","DEPARTMENT OF FINANCE"
"Annual",53051,75000,"External","M1",1,"ADMINISTRATIVE SUPERVISOR OF B","DEPARTMENT OF FINANCE"
"Annual",53051,75000,"Internal","M1",1,"ADMINISTRATIVE SUPERVISOR OF B","DEPARTMENT OF FINANCE"
"Annual",54347,74187,"External","01",100,"SPECIAL CONSULTANT (MENTAL HEA","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",66242,96769,"Internal","03",1,"CITY PLANNER","HOUSING PRESERVATION & DVLPMNT"
"Annual",66242,96769,"External","03",1,"CITY PLANNER","HOUSING PRESERVATION & DVLPMNT"
"Annual",44945,72628,"Internal","02",1,"PROCUREMENT ANALYST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",44945,72628,"External","02",1,"PROCUREMENT ANALYST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",85000,105000,"External","M2",1,"EXECUTIVE AGENCY COUNSEL","CIVILIAN COMPLAINT REVIEW BD"
"Annual",85000,105000,"Internal","M2",1,"EXECUTIVE AGENCY COUNSEL","CIVILIAN COMPLAINT REVIEW BD"
"Annual",48895,75900,"External","00",1,"COMMUNITY COORDINATOR","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",48895,75900,"Internal","00",1,"COMMUNITY COORDINATOR","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",53051,145991,"External","M1",3,"ADMINISTRATIVE PROJECT MANAGER","DEPARTMENT OF TRANSPORTATION"
"Annual",89383,134914,"External","04",1,"CERT. IT ADMINISTRATOR WAN","NYC EMPLOYEES RETIREMENT SYS"
"Annual",89383,134914,"Internal","04",1,"CERT. IT ADMINISTRATOR WAN","NYC EMPLOYEES RETIREMENT SYS"
"Annual",48895,60000,"Internal","00",5,"COMMUNITY COORDINATOR","DEPARTMENT OF INVESTIGATION"
"Annual",53051,145991,"Internal","M1",3,"ADMINISTRATIVE PROJECT MANAGER","DEPARTMENT OF TRANSPORTATION"
"Annual",58675,156793,"Internal","M2",1,"ADMINISTRATIVE DIRECTOR OF SOC","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",58675,156793,"External","M2",1,"ADMINISTRATIVE DIRECTOR OF SOC","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",48895,60000,"External","00",5,"COMMUNITY COORDINATOR","DEPARTMENT OF INVESTIGATION"
"Annual",48764,60000,"Internal","02",2,"CONFIDENTIAL INVESTIGATOR","DEPARTMENT OF INVESTIGATION"
"Annual",48764,60000,"External","02",2,"CONFIDENTIAL INVESTIGATOR","DEPARTMENT OF INVESTIGATION"
"Annual",48764,60000,"Internal","02",1,"CONFIDENTIAL INVESTIGATOR","DEPARTMENT OF INVESTIGATION"
"Annual",68239,85644,"Internal","02",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",68239,85644,"External","02",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",90000,140000,"External","M3",1,"ADMINISTRATIVE PUBLIC HEALTH N","ADMIN FOR CHILDREN'S SVCS"
"Annual",51586,77404,"External","00",1,"ASSISTANT ARCHITECT","HOUSING PRESERVATION & DVLPMNT"
"Annual",90000,140000,"Internal","M3",1,"ADMINISTRATIVE PUBLIC HEALTH N","ADMIN FOR CHILDREN'S SVCS"
"Annual",66242,96769,"External","03",1,"CITY PLANNER","DEPARTMENT OF TRANSPORTATION"
"Annual",48764,60000,"External","02",1,"CONFIDENTIAL INVESTIGATOR","DEPARTMENT OF INVESTIGATION"
"Annual",80379,150000,"External","M5",1,"COMPUTER SYSTEMS MANAGER","DEPARTMENT OF FINANCE"
"Annual",80379,150000,"Internal","M5",1,"COMPUTER SYSTEMS MANAGER","DEPARTMENT OF FINANCE"
"Annual",66242,96769,"Internal","03",1,"CITY PLANNER","DEPARTMENT OF TRANSPORTATION"
"Annual",80379,150000,"External","M5",1,"COMPUTER SYSTEMS MANAGER","DEPARTMENT OF FINANCE"
"Annual",46557,63801,"External","02",1,"LABORATORY MICROBIOLOGIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",46557,63801,"Internal","02",1,"LABORATORY MICROBIOLOGIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",46557,63801,"External","02",3,"LABORATORY MICROBIOLOGIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",80379,150000,"Internal","M5",1,"COMPUTER SYSTEMS MANAGER","DEPARTMENT OF FINANCE"
"Annual",73000,101148,"External","02",3,"ARCHITECT","DEPT OF PARKS & RECREATION"
"Annual",34644,57655,"External","00",1,"COMMUNITY ASSOCIATE","HOUSING PRESERVATION & DVLPMNT"
"Annual",73000,101148,"Internal","02",3,"ARCHITECT","DEPT OF PARKS & RECREATION"
"Annual",73000,101148,"Internal","02",3,"ARCHITECT","DEPT OF PARKS & RECREATION"
"Annual",74287,74287,"Internal","03",13,"CRIMINALIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",46557,63801,"Internal","02",3,"LABORATORY MICROBIOLOGIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",76340,100322,"External","03",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",76340,100322,"Internal","03",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",46782,65028,"Internal","02",1,"PRINCIPAL ADMINISTRATIVE ASSOC","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",53051,145991,"External","M1",1,"ADMINISTRATIVE ENGINEER","DEPARTMENT OF TRANSPORTATION"
"Hourly",38,38,"External","00",71,"JR PHNURSE (SCH HLTH)>20 HR PT","DEPT OF HEALTH/MENTAL HYGIENE"
"Hourly",38,38,"Internal","00",71,"JR PHNURSE (SCH HLTH)>20 HR PT","DEPT OF HEALTH/MENTAL HYGIENE"
"Hourly",32,37,"Internal","01",50,"PUBLIC HEALTH NURSE (SCHOOL HE","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",46782,65028,"External","02",1,"PRINCIPAL ADMINISTRATIVE ASSOC","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",41199,47379,"Internal","01",3,"PUBLIC HEALTH SANITARIAN","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",41199,47379,"External","01",3,"PUBLIC HEALTH SANITARIAN","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",48895,75900,"External","00",1,"COMMUNITY COORDINATOR","TAXI & LIMOUSINE COMMISSION"
"Annual",48895,75900,"Internal","00",1,"COMMUNITY COORDINATOR","TAXI & LIMOUSINE COMMISSION"
"Hourly",32,37,"External","01",50,"PUBLIC HEALTH NURSE (SCHOOL HE","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",51908,54580,"Internal","00",1,"MAINTENANCE WORKER","NYC HOUSING AUTHORITY"
"Annual",51908,54580,"External","00",1,"MAINTENANCE WORKER","NYC HOUSING AUTHORITY"
"Annual",50649,68071,"External","02",2,"INDUSTRIAL HYGIENIST","NYC HOUSING AUTHORITY"
"Annual",50649,68071,"Internal","02",2,"INDUSTRIAL HYGIENIST","NYC HOUSING AUTHORITY"
"Annual",64403,74064,"External","03",1,"PUBLIC HEALTH NURSE","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",28955,43417,"Internal","00",1,"PUBLIC HEALTH ASSISTANT","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",28955,43417,"External","00",1,"PUBLIC HEALTH ASSISTANT","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",41810,48082,"Internal","01",1,"PRINCIPAL ADMINISTRATIVE ASSOC","DEPARTMENT OF FINANCE"
"Annual",41199,47379,"Internal","01",5,"PUBLIC HEALTH SANITARIAN","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",61237,88686,"External","01",1,"ASSOCIATE PROJECT MANAGER","DEPT OF ENVIRONMENT PROTECTION"
"Hourly",10,14,"Internal","01",1,"COLLEGE AIDE (ALL CITY DEPTS)","DEPARTMENT OF FINANCE"
"Hourly",10,14,"External","01",1,"COLLEGE AIDE (ALL CITY DEPTS)","DEPARTMENT OF FINANCE"
"Annual",48764,60000,"Internal","02",17,"CONFIDENTIAL INVESTIGATOR","DEPARTMENT OF INVESTIGATION"
"Annual",41199,47379,"External","01",5,"PUBLIC HEALTH SANITARIAN","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",53051,110000,"Internal","M1",1,"ADMINISTRATIVE MANAGEMENT AUDI","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",53051,110000,"External","M1",1,"ADMINISTRATIVE MANAGEMENT AUDI","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",48764,60000,"External","02",17,"CONFIDENTIAL INVESTIGATOR","DEPARTMENT OF INVESTIGATION"
"Annual",50649,68071,"Internal","02",2,"INDUSTRIAL HYGIENIST","DEPARTMENT OF TRANSPORTATION"
"Annual",50649,68071,"External","02",2,"INDUSTRIAL HYGIENIST","DEPARTMENT OF TRANSPORTATION"
"Annual",68239,85644,"Internal","02",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",68239,85644,"External","02",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",46557,63801,"External","02",1,"LABORATORY MICROBIOLOGIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",64403,74064,"Internal","03",1,"PUBLIC HEALTH NURSE","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",50623,80988,"Internal","02",2,"ACCOUNTANT","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",50623,80988,"External","02",2,"ACCOUNTANT","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",55139,78637,"External","01",1,"ASSOCIATE INSPECTOR (HOUSING)","HOUSING PRESERVATION & DVLPMNT"
"Annual",46557,63801,"Internal","02",1,"LABORATORY MICROBIOLOGIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Hourly",10,14,"Internal","01",1,"COLLEGE AIDE (ALL CITY DEPTS)","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",61237,88686,"Internal","01",1,"ASSOCIATE PROJECT MANAGER","DEPT OF ENVIRONMENT PROTECTION"
"Hourly",10,14,"External","01",1,"COLLEGE AIDE (ALL CITY DEPTS)","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",55081,70546,"Internal","02",1,"STAFF ANALYST","HRA/DEPT OF SOCIAL SERVICES"
"Hourly",19,25,"Internal","01",3,"PUBLIC HEALTH ADVISER (SCHOOL","DEPT OF HEALTH/MENTAL HYGIENE"
"Hourly",19,25,"External","01",3,"PUBLIC HEALTH ADVISER (SCHOOL","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",89383,134914,"External","04",2,"CERT IT DEVELOPER (APP)","DEPARTMENT OF SANITATION"
"Annual",49897,72061,"External","01",2,"CITY PLANNER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",70477,106833,"Internal","03",5,"ASSOCIATE URBAN DESIGNER","DEPT OF DESIGN & CONSTRUCTION"
"Annual",70477,106833,"External","03",5,"ASSOCIATE URBAN DESIGNER","DEPT OF DESIGN & CONSTRUCTION"
"Annual",68239,85644,"External","02",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",45385,61669,"Internal","01",1,"ACCOUNTANT","DEPARTMENT OF TRANSPORTATION"
"Annual",68239,85644,"Internal","02",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",49897,72061,"Internal","01",2,"CITY PLANNER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",54310,79787,"Internal","02",1,"COMPUTER ASSOC (TECH SUPP)","DEPARTMENT OF TRANSPORTATION"
"Annual",54310,79787,"External","02",1,"COMPUTER ASSOC (TECH SUPP)","DEPARTMENT OF TRANSPORTATION"
"Annual",153131,185000,"Internal","04",2,"CITY MEDICAL SPECIALIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",53051,145991,"External","M1",1,"EXECUTIVE DIRECTOR","HUMAN RIGHTS COMMISSION"
"Annual",53051,145991,"Internal","M1",1,"EXECUTIVE DIRECTOR","HUMAN RIGHTS COMMISSION"
"Annual",57969,70142,"Internal","01",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",45385,61669,"External","01",1,"ACCOUNTANT","DEPARTMENT OF TRANSPORTATION"
"Annual",57969,70142,"External","01",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",153131,185000,"External","04",2,"CITY MEDICAL SPECIALIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",38251,65771,"Internal","01",1,"BUSINESS PROMOTION COORDINATOR","DEPARTMENT OF BUSINESS SERV."
"Annual",38251,65771,"External","01",1,"BUSINESS PROMOTION COORDINATOR","DEPARTMENT OF BUSINESS SERV."
"Annual",58675,95000,"Internal","M2",1,"HEALTH SERVICES MANAGER","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",58675,95000,"External","M2",1,"HEALTH SERVICES MANAGER","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",69215,95000,"External","03",1,"COMPUTER ASSOC (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",69215,95000,"Internal","03",1,"COMPUTER ASSOC (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",61237,88686,"Internal","01",2,"CIVIL ENGINEER","DEPARTMENT OF TRANSPORTATION"
"Annual",53051,92000,"External","M1",1,"COMPUTER SYSTEMS MANAGER","TAXI & LIMOUSINE COMMISSION"
"Annual",53051,92000,"Internal","M1",1,"COMPUTER SYSTEMS MANAGER","TAXI & LIMOUSINE COMMISSION"
"Annual",69253,108101,"Internal","00",1,"COMPUTER SPECIALIST (OPERATION","DEPT OF INFO TECH & TELECOMM"
"Annual",69253,108101,"External","00",1,"COMPUTER SPECIALIST (OPERATION","DEPT OF INFO TECH & TELECOMM"
"Annual",61237,88686,"External","01",2,"CIVIL ENGINEER","DEPARTMENT OF TRANSPORTATION"
"Annual",48535,132061,"Internal","00",1,"ADM CONSTRUCTION PRJ MGR-NM","DEPT OF DESIGN & CONSTRUCTION"
"Annual",48535,132061,"External","00",1,"ADM CONSTRUCTION PRJ MGR-NM","DEPT OF DESIGN & CONSTRUCTION"
"Annual",67467,98882,"Internal","02",1,"ASSOCIATE URBAN DESIGNER","DEPT OF DESIGN & CONSTRUCTION"
"Annual",62260,74000,"External","00",1,"ASSOCIATE STAFF ANALYST","DEPT OF ENVIRONMENT PROTECTION"
"Annual",62260,74000,"Internal","00",1,"ASSOCIATE STAFF ANALYST","DEPT OF ENVIRONMENT PROTECTION"
"Annual",62260,74000,"Internal","00",1,"ASSOCIATE STAFF ANALYST","DEPT OF ENVIRONMENT PROTECTION"
"Annual",46466,56270,"External","00",11,"CIVIL ENGINEERING INTERN","DEPT OF ENVIRONMENT PROTECTION"
"Annual",67467,98882,"External","02",1,"ASSOCIATE URBAN DESIGNER","DEPT OF DESIGN & CONSTRUCTION"
"Annual",36166,56775,"External","04",1,"CLERICAL ASSOCIATE","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",36166,56775,"Internal","04",1,"CLERICAL ASSOCIATE","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",37907,37907,"External","00",52,"URBAN PARK RANGER","DEPT OF PARKS & RECREATION"
"Annual",37907,37907,"Internal","00",52,"URBAN PARK RANGER","DEPT OF PARKS & RECREATION"
"Annual",37907,37907,"Internal","00",52,"URBAN PARK RANGER","DEPT OF PARKS & RECREATION"
"Annual",46466,56270,"Internal","00",11,"CIVIL ENGINEERING INTERN","DEPT OF ENVIRONMENT PROTECTION"
"Annual",58675,156793,"External","M2",1,"HEALTH SERVICES MANAGER","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",58675,156793,"Internal","M2",1,"HEALTH SERVICES MANAGER","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",71485,80809,"Internal","02",2,"POISON INFORMATION SPECIALIST(","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",71485,80809,"External","02",2,"POISON INFORMATION SPECIALIST(","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",65107,173663,"External","M3",1,"ADMINISTRATIVE LABOR RELATIONS","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",46466,56270,"Internal","00",1,"CIVIL ENGINEERING INTERN","DEPT OF ENVIRONMENT PROTECTION"
"Annual",46466,56270,"External","00",1,"CIVIL ENGINEERING INTERN","DEPT OF ENVIRONMENT PROTECTION"
"Annual",49897,72061,"Internal","01",1,"CITY PLANNER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",68239,68239,"Internal","02",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",65107,173663,"Internal","M3",1,"ADMINISTRATIVE LABOR RELATIONS","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",68239,68239,"External","02",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",45385,61669,"External","01",1,"ACCOUNTANT","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",49897,72061,"External","01",1,"CITY PLANNER","DEPT OF ENVIRONMENT PROTECTION"
"Hourly",15,20,"Internal","01",11,"OFFICE MACHINE AIDE","NYC EMPLOYEES RETIREMENT SYS"
"Annual",69253,108101,"External","00",1,"COMPUTER SPECIALIST (OPERATION","DEPT OF INFO TECH & TELECOMM"
"Hourly",15,20,"External","01",11,"OFFICE MACHINE AIDE","NYC EMPLOYEES RETIREMENT SYS"
"Annual",75916,75916,"Internal","00",1,"CONSULTANT PUBLIC HEALTH NURSE","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",75916,75916,"External","00",1,"CONSULTANT PUBLIC HEALTH NURSE","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",41810,61248,"External","01",1,"PRINCIPAL ADMINISTRATIVE ASSOC","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",45385,61669,"Internal","01",1,"ACCOUNTANT","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",41810,61248,"Internal","01",1,"PRINCIPAL ADMINISTRATIVE ASSOC","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",90000,120000,"Internal","M1",1,"EXECUTIVE AGENCY COUNSEL","HOUSING PRESERVATION & DVLPMNT"
"Annual",90000,120000,"External","M1",1,"EXECUTIVE AGENCY COUNSEL","HOUSING PRESERVATION & DVLPMNT"
"Annual",76340,87791,"External","03",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",76340,87791,"Internal","03",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Hourly",10,14,"External","01",20,"COLLEGE AIDE (ALL CITY DEPTS)","DEPARTMENT OF BUILDINGS"
"Hourly",10,14,"Internal","01",20,"COLLEGE AIDE (ALL CITY DEPTS)","DEPARTMENT OF BUILDINGS"
"Annual",106475,106475,"External","M1",1,"BUDGET ANALYST (OMB)-MANAGERIA","OFFICE OF MANAGEMENT & BUDGET"
"Annual",106475,106475,"Internal","M1",1,"BUDGET ANALYST (OMB)-MANAGERIA","OFFICE OF MANAGEMENT & BUDGET"
"Annual",87461,115000,"External","4B",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",87461,115000,"Internal","4B",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",65107,173663,"Internal","M3",1,"ADMINISTRATIVE BUSINESS PROMOT","DEPARTMENT OF BUSINESS SERV."
"Annual",53051,145991,"Internal","M1",1,"DIRECTOR OF FIELD OPERATIONS (","ADMIN FOR CHILDREN'S SVCS"
"Annual",54128,91112,"Internal","00",1,"CONFIDENTIAL STRATEGY PLANNER","DEPARTMENT OF FINANCE"
"Annual",54128,91112,"External","00",1,"CONFIDENTIAL STRATEGY PLANNER","DEPARTMENT OF FINANCE"
"Annual",53051,145991,"Internal","M1",1,"ADMINISTRATIVE ENGINEER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",65107,173663,"External","M3",1,"ADMINISTRATIVE BUSINESS PROMOT","DEPARTMENT OF BUSINESS SERV."
"Annual",58050,75000,"Internal","03",2,"CONFIDENTIAL INVESTIGATOR","DEPARTMENT OF INVESTIGATION"
"Annual",58050,75000,"External","03",2,"CONFIDENTIAL INVESTIGATOR","DEPARTMENT OF INVESTIGATION"
"Annual",53051,145991,"External","M1",1,"ADMINISTRATIVE ENGINEER","DEPT OF ENVIRONMENT PROTECTION"
"Hourly",64,69,"Internal","00",1,"CITY CLINICIAN","DEPT OF HEALTH/MENTAL HYGIENE"
"Hourly",64,69,"External","00",1,"CITY CLINICIAN","DEPT OF HEALTH/MENTAL HYGIENE"
"Hourly",64,69,"Internal","00",1,"CITY CLINICIAN","DEPT OF HEALTH/MENTAL HYGIENE"
"Hourly",64,69,"External","00",1,"CITY CLINICIAN","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",69253,108101,"External","00",2,"COMPUTER SPECIALIST (OPERATION","DEPT OF INFO TECH & TELECOMM"
"Annual",49897,72061,"External","01",2,"CITY PLANNER","HOUSING PRESERVATION & DVLPMNT"
"Annual",65129,110413,"External","03",5,"CONSTRUCTION PROJECT MANAGER","DEPT OF DESIGN & CONSTRUCTION"
"Annual",49897,72061,"Internal","01",2,"CITY PLANNER","HOUSING PRESERVATION & DVLPMNT"
"Annual",63800,79009,"External","02",1,"NUTRITIONIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",63800,79009,"Internal","02",1,"NUTRITIONIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",69253,108101,"Internal","00",2,"COMPUTER SPECIALIST (OPERATION","DEPT OF INFO TECH & TELECOMM"
"Annual",69253,108101,"Internal","00",1,"COMPUTER SPECIALIST (OPERATION","DEPT OF INFO TECH & TELECOMM"
"Annual",60000,68000,"Internal","00",1,"SPECIAL INVESTIGATOR","DEPARTMENT OF INVESTIGATION"
"Annual",26536,30516,"External","00",4,"COMMUNITY SERVICE AIDE","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",26536,30516,"Internal","00",4,"COMMUNITY SERVICE AIDE","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",76340,100322,"Internal","03",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",65129,110413,"Internal","03",5,"CONSTRUCTION PROJECT MANAGER","DEPT OF DESIGN & CONSTRUCTION"
"Annual",76340,100322,"External","03",1,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",51753,79091,"External","03",1,"PRINCIPAL ADMINISTRATIVE ASSOC","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",60000,68000,"External","00",1,"SPECIAL INVESTIGATOR","DEPARTMENT OF INVESTIGATION"
"Annual",46782,53799,"Internal","02",1,"PRINCIPAL ADMINISTRATIVE ASSOC","DEPARTMENT OF FINANCE"
"Annual",46163,65635,"External","00",3,"SOCIAL WORKER","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",46163,65635,"Internal","00",3,"SOCIAL WORKER","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",51753,79091,"Internal","03",1,"PRINCIPAL ADMINISTRATIVE ASSOC","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",66242,80000,"Internal","03",1,"CITY PLANNER","HOUSING PRESERVATION & DVLPMNT"
"Annual",48895,56229,"External","00",1,"COMMUNITY COORDINATOR","DISTRICT ATTORNEY KINGS COUNTY"
"Annual",66242,80000,"External","03",1,"CITY PLANNER","HOUSING PRESERVATION & DVLPMNT"
"Annual",85000,105000,"Internal","M4",1,"COMPUTER SYSTEMS MANAGER","OFFICE OF THE COMPTROLLER"
"Hourly",19,25,"External","01",1,"PUBLIC HEALTH ADVISER (SCHOOL","DEPT OF HEALTH/MENTAL HYGIENE"
"Hourly",19,25,"Internal","01",1,"PUBLIC HEALTH ADVISER (SCHOOL","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",59589,59589,"Internal","02",1,"CRIMINALIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",32888,50000,"Internal","03",1,"CLERICAL ASSOCIATE","DEPT OF INFO TECH & TELECOMM"
